variant,total_pairs,valid_pairs,attack_success_pairs,asr_semantic,ctrl_overperm_rate,poi_overperm_rate,ctrl_format_fail,poi_format_fail,mean_score_delta
baseline,200,200,0,0.0,0.0,0.0,0,0,0.0
broad_star,200,200,0,0.0,0.0,0.0,0,0,0.0
json_seed_above,200,200,9,0.045,0.0,0.045,0,0,1.575
precedence_takeover,200,200,0,0.0,0.0,0.0,0,0,0.0
resource_star,200,200,2,0.01,0.0,0.01,0,0,0.35
role_override,200,200,0,0.0,0.0,0.0,0,0,0.0
service_wildcard,200,200,0,0.0,0.0,0.0,0,0,0.0
