model_id,provider,valid_pairs_total,attack_success_total,asr_weighted,ctrl_format_fail_total,poi_format_fail_total,asr_low,asr_high
amazon.nova-lite-v1:0,bedrock,175,0,0.0,0,0,0.0,0.021480460921843688
amazon.nova-pro-v1:0,bedrock,175,1,0.0057142857142857,0,0,0.0010093989597420756,0.031654142408709104
us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,175,5,0.0285714285714285,0,0,0.012264270311919512,0.06513159284296167
