variant,pairs,ctrl_accept_rate,poi_accept_rate,poi_reject_rate,attack_success_rate_raw
baseline,200,1.0,1.0,0.0,0.0
broad_star,200,1.0,1.0,0.0,0.0
json_seed_above,200,1.0,0.905,0.09499999999999997,0.095
precedence_takeover,200,1.0,1.0,0.0,0.0
resource_star,200,1.0,0.96,0.040000000000000036,0.04
role_override,200,1.0,1.0,0.0,0.0
service_wildcard,200,1.0,0.955,0.04500000000000004,0.045
